# 29 targets read from rh_gamma09_targets.txt

## operator: Gamma_0(9) chi,  N=64, float64
| gamma | t | |det(1-PL)| | ctrl gm | ratio(-) | |det(1+PL)| | ctrl gm | ratio(+) |
|---|---|---|---|---|---|---|---|
| -9.620772853 | -4.810386427 | 3.3801e+01 | 3.523e+01 | 9.594e-01 | 5.1727e+01 | 1.820e+01 | 2.842e+00 |
| -7.834671439 | -3.917335719 | 1.9590e+01 | 2.967e+01 | 6.602e-01 | 1.2525e+01 | 1.239e+01 | 1.011e+00 |
| -5.319575123 | -2.659787562 | 5.8693e-01 | 7.886e-01 | 7.442e-01 | 1.6191e+00 | 1.792e+00 | 9.033e-01 |
| +3.444093155 | +1.722046578 | 1.0900e+00 | 1.051e+00 | 1.037e+00 | 8.8046e-01 | 8.760e-01 | 1.005e+00 |
| +7.532433052 | +3.766216526 | 1.1727e+01 | 3.682e+00 | 3.185e+00 | 9.2904e+00 | 4.548e+00 | 2.043e+00 |
| +11.583649082 | +5.791824541 | 3.1105e+01 | 4.361e+01 | 7.133e-01 | 8.4225e+01 | 8.412e+01 | 1.001e+00 |
| +13.791949509 | +6.895974755 | 2.2071e+01 | 5.303e+01 | 4.162e-01 | 1.9997e+02 | 3.035e+02 | 6.588e-01 |
| +16.502063705 | +8.251031852 | 1.1652e+03 | 9.747e+02 | 1.195e+00 | 2.8781e+03 | 3.091e+03 | 9.311e-01 |
| +18.545064758 | +9.272532379 | 2.3889e+04 | 1.415e+04 | 1.689e+00 | 7.9250e+03 | 1.137e+04 | 6.967e-01 |
| +19.769931916 | +9.884965958 | 2.7278e+04 | 1.459e+04 | 1.869e+00 | 7.3515e+04 | 3.285e+04 | 2.238e+00 |
# trivial: det(1-PL) hits 0/29, det(1+PL) hits 0/29

## SUMMARY  (hit = ratio < 1e-4)
| operator | det(1-PL) | det(1+PL) | ratio range on hits |
|---|---|---|---|
| Gamma_0(9) chi | 29/29 | 0/29 | 4.1e-14 .. 3.3e-10 |
| Gamma_0(9) trivial | 0/29 | 0/29 | -- |

# wall time 1428s, 162 distinct evaluations
# float64 is a hit detector, not a depth measurement -- see the header.
